8-15-|27 1.003084
0-1-|71 6.625638
79-|38 2.410657
28-|39 0.647119
0-|67 5.140818
10-60-|33 0.830789
99-|20 7.606696
20-53-|64 0.006756
50-|98 1.358228
0-67-|79 0.943992
0-44-|16 1.667002
34-|46 3.043628
0-1-|56 3.547944
2-10-|78 1.297854
0-68-|48 0.524152
8-|96 0.733941
21-73-|53 6.300011
11-76-|75 0.055952
12-92-|43 0.695773
24-54-|37 0.765862
|68 1.468259
40-58-|71 3.758530
16-66-|65 1.261067
72-|37 1.328263
45-|19 4.909646
71-72-|17 1.179292
50-79-|82 0.308396
18-96-|34 3.420391
0-43-|79 4.083314
88-|50 3.714659
57-65-|43 0.970078
0-6-|23 1.370178
0-32-|10 4.289162
89-90-|96 0.655683
39-76-|19 3.927719
72-|56 2.042002
37-52-|85 4.076229
0-81-|68 1.076724
0-|66 0.745800
89-|20 2.327928
0-1-|59 1.682786
17-|2 6.610844
0-71-|81 1.517127
12-25-|3 2.454495
42-|21 0.862036
45-58-|93 0.579003
48-95-|29 4.810057
46-74-|62 0.612831
0-71-|58 1.271324
18-|84 5.649613
0-86-|75 1.744126
0-41-|96 0.805147
13-85-|45 1.289175
65-|75 3.556631
35-91-|82 3.845089
19-|37 1.328263
0-77-|78 1.297854
8-96-|88 1.430684
65-86-|33 1.134435
|26 3.210569
27-|45 1.289175
28-|44 4.419802
18-54-|73 1.357193
0-1-|75 4.389018
26-|69 3.754503
19-82-|90 0.446420
91-|52 1.263730
11-32-|26 2.568455
28-95-|82 0.228892
0-77-|66 0.596640
45-46-|67 4.918922
22-69-|84 3.955701
30-93-|9 2.467031
5-24-|16 4.456637
0-33-|38 7.433365
0-1-|27 4.841865
47-|54 1.956216
80-93-|60 1.808922
2-14-|13 3.415336
0-26-|5 2.690798
18-41-|71 3.389842
0-58-|54 2.220866
42-64-|76 1.426246
56-|17 1.454008
88-|35 2.444091
4-91-|45 1.289175
0-18-|30 3.462149
24-97-|42 0.405754
24-82-|98 0.636780
14-90-|81 2.981343
47-|15 5.708861
0-|18 4.059184
70-|0 12.181230
0-70-|77 3.196227
62-|82 4.643200
35-51-|85 4.076229
35-|57 2.132867
2-|87 2.940089
0-68-|35 1.301339
36-41-|5 1.426377
0-85-|39 0.647119
7-28-|91 1.413589
54-66-|13 4.349631
0-96-|20 6.141951
0-34-|83 3.072751
19-23-|13 4.198095
0-1-|80 2.417306
0-36-|87 0.941888
3-|8 1.343254
29-56-|23 1.141815
70-|36 2.899370
79-88-|17 0.921325
27-71-|4 3.368753
90-|63 2.348163
80-96-|43 1.897568
0-51-|97 1.544462
36-42-|91 0.026283
8-50-|92 1.174213
63-|88 1.732778
48-66-|5 2.796259
0-27-|97 1.853355
29-84-|38 0.339265
18-|12 1.614091
0-77-|8 1.332652
55-96-|63 2.348163
0-|9 2.569823
28-39-|10 1.914695
0-86-|43 1.897568
13-53-|50 1.664553
18-65-|77 4.072977
|4 5.470776
0-67-|53 2.825665
0-23-|61 2.319036
11-47-|52 1.263730
0-69-|9 2.055859
52-|94 3.378681
62-|98 2.338383
89-90-|0 12.180450
20-55-|99 3.420432
6-58-|8 1.343254
43-|6 1.164071
45-|62 2.743101
31-67-|63 1.248772
15-|70 0.285614
37-39-|68 1.174607
81-|46 0.856168
64-98-|40 1.244614
38-78-|81 1.896409
89-90-|61 2.319036
0-|19 4.909648
58-|60 1.473075
76-95-|17 0.172295
0-32-|6 1.071250
0-86-|71 4.039657
19-|22 2.894801
0-68-|36 2.239890
41-|0 12.181224
71-|90 0.446420
0-82-|6 1.369527
0-8-|98 3.462347
60-67-|82 1.544742
9-58-|14 1.109098
62-76-|86 3.189767
45-89-|72 4.142528
29-84-|37 1.660329
24-97-|18 3.247347
57-|59 1.825392
56-|38 4.119114
13-98-|38 2.083736
23-65-|29 3.913468
11-47-|80 4.095983
0-83-|29 2.051470
0-26-|30 4.876708
0-51-|38 7.433365
38-75-|94 1.683357
37-72-|1 6.950533
26-47-|14 1.066200
0-56-|18 3.876845
13-24-|64 3.290627
0-79-|21 1.077543
24-|5 2.972434
79-98-|37 1.328263
5-32-|51 1.074899
0-71-|16 3.456699
71-98-|64 1.761319
22-83-|81 1.131418
0-99-|3 2.699049
0-10-|24 1.427593
1-20-|10 2.750728
37-|38 7.433365
0-1-|72 5.313594
44-62-|69 2.519045
|53 7.875014
98-|41 2.971333
70-|44 1.404479
25-|45 1.289175
0-60-|24 1.427593
26-63-|96 0.489687
60-90-|76 3.665347
|5 3.715542
0-6-|16 5.570797
22-|6 1.164071
